X	Y
0.000	1.700
1.400	1.700
2.800	1.900
4.200	1.998
5.600	1.702
7.000	1.900
8.400	1.894
9.800	1.505
11.200	1.798
12.600	1.704
14.000	1.884
15.400	1.200
16.800	1.211
18.200	1.591
19.600	1.316
21.000	1.811
22.400	2.096
23.800	2.008
25.200	2.217
26.600	2.596
28.000	2.505
29.400	2.600
30.800	2.600
32.200	2.600
33.600	2.600
35.000	2.588
36.400	2.388
37.800	2.187
39.200	1.980
40.600	1.693
42.000	1.579
43.400	1.322
44.800	1.615
46.200	1.785
47.600	1.616
49.000	1.816
50.400	2.025
51.800	2.335
53.200	2.700
54.600	2.746
56.000	3.181
57.400	3.019
58.800	3.170
60.200	2.930
61.600	3.138
63.000	2.642
64.400	2.957
65.800	2.677
67.200	3.345
68.600	3.838
70.000	5.029
71.400	6.143
72.800	7.358
74.200	8.711
75.600	10.390
77.000	11.919
78.400	13.413
79.800	13.754
81.200	15.454
82.600	15.938
84.000	16.744
85.400	16.357
86.800	16.027
88.200	15.379
89.600	14.040
91.000	13.487
92.400	12.300
93.800	12.159
95.200	11.273
96.600	10.535
98.000	10.151
99.400	9.917
100.800	10.000
102.200	10.000
103.600	10.191
105.000	11.030
106.400	10.558
107.800	9.990
109.200	10.236
110.600	9.500
112.000	9.331
113.400	8.752
114.800	9.419
116.200	9.636
117.600	10.751
119.000	13.697
120.400	17.507
121.800	22.926
123.200	30.499
124.600	40.284
126.000	50.813
127.400	63.711
128.800	78.410
130.200	93.411
131.600	109.087
133.000	126.927
134.400	145.705
135.800	160.871
137.200	176.890
138.600	190.220
140.000	201.055
141.400	210.063
142.800	218.001
144.200	223.992
145.600	227.263
147.000	227.298
148.400	222.305
149.800	218.947
151.200	213.025
152.600	203.358
154.000	191.478
155.400	180.523
156.800	165.187
158.200	150.724
159.600	137.762
161.000	122.226
162.400	106.635
163.800	91.419
165.200	77.697
166.600	64.767
168.000	53.562
169.400	43.523
170.800	34.643
172.200	27.696
173.600	20.693
175.000	16.271
176.400	12.385
177.800	9.367
179.200	7.040
180.600	5.837
182.000	5.000
183.400	4.724
184.800	4.038
186.200	4.149
187.600	4.700
189.000	4.732
190.400	4.800
191.800	4.960
193.200	5.300
194.600	5.495
196.000	5.867
197.400	5.767
198.800	5.800
200.200	5.933
201.600	5.699
203.000	5.330
204.400	5.068
205.800	5.166
207.200	4.961
208.600	4.700
210.000	4.454
211.400	3.965
212.800	3.971
214.200	3.849
215.600	3.436
217.000	3.500
218.400	3.208
219.800	2.810
221.200	2.667
222.600	2.212
224.000	2.400
225.400	2.400
226.800	2.438
228.200	2.309
229.600	2.038
231.000	2.023
232.400	2.017
233.800	2.200
235.200	2.121
236.600	2.040
238.000	2.060
239.400	1.920
240.800	1.881
242.200	1.959
243.600	1.900
245.000	2.105
246.400	2.153
247.800	2.007
249.200	2.300
250.600	2.342
252.000	2.147
253.400	1.885
254.800	2.000
256.200	2.043
257.600	1.928
259.000	1.830
260.400	1.869
261.800	1.831
263.200	2.000
264.600	1.867
266.000	1.833
267.400	2.045
268.800	2.055
270.200	1.684
271.600	1.573
273.000	1.854
274.400	1.892
275.800	1.862
277.200	1.746
278.600	1.660
280.000	1.594
281.400	1.606
282.800	1.547
284.200	1.600
285.600	1.409
287.000	1.392
288.400	1.552
289.800	1.403
291.200	1.397
292.600	1.598
294.000	1.602
295.400	1.549
296.800	1.501
298.200	1.500
